customer_id,customer_segment,historical_price,competitor_price,purchase_frequency_last_6m,market_condition,demand_score,recommended_price,optimal_discount_%
1,Mid-Market,16766.73,4295.6,5,Low Competition,0.35,18134.4,-8.16
2,SMB,3935.22,23641.78,18,Moderate Competition,0.27,798.22,79.72
3,SMB,5717.46,14027.11,10,Moderate Competition,0.82,4836.93,15.4
4,Mid-Market,22666.75,21800.27,6,Moderate Competition,0.25,21663.38,4.43
5,Enterprise,15947.87,9545.2,1,High Competition,0.87,18088.41,-13.42
6,Enterprise,2211.53,23471.66,5,High Competition,0.55,-955.37,143.2
7,Enterprise,4333.85,11218.68,9,Moderate Competition,0.93,3673.84,15.23
8,SMB,17260.54,2062.27,12,High Competition,0.78,20506.87,-18.81
9,Mid-Market,2116.42,23710.24,14,Moderate Competition,0.69,-1042.23,149.24
10,SMB,5698.59,4009.14,2,High Competition,0.96,6476.28,-13.65
11,Enterprise,14620.88,9527.39,17,Moderate Competition,0.52,15443.39,-5.63
12,SMB,17913.59,24791.5,14,High Competition,0.96,18529.95,-3.44
13,SMB,16995.11,24804.69,13,High Competition,0.31,15177.86,10.69
14,Enterprise,7158.19,15677.2,9,Moderate Competition,0.59,6009.19,16.05
15,Enterprise,18380.12,17090.46,15,Moderate Competition,0.42,18279.49,0.55
16,Enterprise,7456.73,12652.38,15,Moderate Competition,0.63,6871.26,7.85
17,Mid-Market,9484.19,8895.7,11,High Competition,0.33,9250,2.47
18,Mid-Market,19169.3,9753.68,16,High Competition,0.87,22000.17,-14.77
19,Mid-Market,16941.56,18074.95,17,Moderate Competition,0.88,18059.11,-6.6
20,Enterprise,21532.14,20007.46,4,High Competition,0.96,23741.8,-10.26
21,Mid-Market,17125.1,20956.21,1,Moderate Competition,0.32,15933.93,6.96
22,Enterprise,15071.1,20908.76,8,Moderate Competition,0.7,14798.3,1.81
23,Enterprise,4154.52,4007.19,17,Moderate Competition,0.58,4243.09,-2.13
24,Mid-Market,10457.46,13764.97,3,Moderate Competition,0.48,9919.5,5.14
25,Mid-Market,8099.65,3192.92,15,Low Competition,0.48,8803.26,-8.69
26,SMB,7611.76,15098.6,15,Low Competition,0.53,6534.4,14.15
27,Enterprise,24379.24,12485.04,14,High Competition,0.76,27431.09,-12.52
28,Mid-Market,11041.25,23282.44,14,High Competition,0.68,9602.56,13.03
29,Mid-Market,22517.07,10292.14,2,High Competition,0.57,24666.05,-9.54
30,Enterprise,16516.19,4633.02,13,High Competition,0.26,17505.89,-5.99
31,Mid-Market,20280.66,5260.4,14,Moderate Competition,0.26,21560.23,-6.31
32,Enterprise,13560.65,20228.56,19,Low Competition,0.2,11746.82,13.38
33,Enterprise,15268.79,16760.88,7,High Competition,0.97,16480.24,-7.93
34,SMB,13327.91,4247.17,3,High Competition,0.2,13890.35,-4.22
35,SMB,6490.59,3835.38,15,High Competition,0.28,6603.29,-1.74
36,SMB,18616.4,18763.45,14,Moderate Competition,0.45,18408.18,1.12
37,Mid-Market,8457.76,3560.86,11,Moderate Competition,0.85,9784.34,-15.68
38,Enterprise,2559.27,21689.01,15,High Competition,0.97,-69.62,102.72
39,Mid-Market,16845.86,18891.06,13,Low Competition,0.83,17650.91,-4.78
40,Mid-Market,6073.55,3768.64,18,Moderate Competition,0.75,6722.96,-10.69
41,Enterprise,23630.55,3853.07,6,High Competition,0.62,27164.31,-14.95
42,Mid-Market,23940.36,25676.68,3,Moderate Competition,0.27,22578.66,5.69
43,Enterprise,23041.88,10857.35,19,Moderate Competition,0.97,27035.5,-17.33
44,SMB,10513.65,10769.54,15,High Competition,0.81,11127.11,-5.83
45,Enterprise,2355.5,21469.75,5,High Competition,0.71,-412.71,117.52
46,Mid-Market,23351.33,24723.42,10,High Competition,0.81,24593.3,-5.32
47,Mid-Market,11848.24,25661.23,7,High Competition,0.78,10439.79,11.89
48,Mid-Market,24233.06,20031.75,17,Low Competition,0.71,25881.05,-6.8
49,Mid-Market,24163.26,10905.48,7,Low Competition,0.98,28471.6,-17.83
50,Enterprise,21619.22,3820.72,12,High Competition,0.92,26105.01,-20.75
51,SMB,8772.32,20606.96,17,High Competition,0.72,7383.11,15.84
52,SMB,10857.25,15313.38,13,High Competition,0.75,10731.69,1.16
53,SMB,21576.14,12066.17,4,High Competition,0.24,21880.68,-1.41
54,SMB,9289.21,23733.78,10,Low Competition,0.74,7568.41,18.52
55,Mid-Market,5898.33,4490.98,3,High Competition,0.24,5802.72,1.62
56,SMB,14806.43,13721.53,9,High Competition,0.67,15472.58,-4.5
57,Enterprise,23531.56,2074.76,13,High Competition,1,29103.24,-23.68
58,Enterprise,18008.69,13141.59,18,Moderate Competition,0.64,19243,-6.85
59,Enterprise,15111.41,3162.54,15,High Competition,0.58,17145.52,-13.46
60,Mid-Market,4235.06,4675.39,4,Moderate Competition,0.45,4126.66,2.56
61,Mid-Market,16145.17,4644.14,15,High Competition,0.3,17224.52,-6.69
62,Enterprise,24771.24,17510.89,2,Moderate Competition,0.78,27247.48,-10
63,SMB,5221.93,19854.29,15,Moderate Competition,0.35,2870.42,45.03
64,Mid-Market,13921.58,15917.52,8,High Competition,0.29,13037.48,6.35
65,Enterprise,22179.58,25084.58,8,High Competition,0.54,21921.27,1.16
66,Mid-Market,19037.68,10871.87,17,Low Competition,0.84,21557.11,-13.23
67,Enterprise,18031.36,8714.23,12,Low Competition,0.8,20510.81,-13.75
68,SMB,18157.13,22820.1,19,High Competition,0.24,16513.51,9.05
69,Enterprise,10268.3,7211.02,10,High Competition,0.56,10850.11,-5.67
70,SMB,8752.61,25109.99,9,Low Competition,0.62,6509.07,25.63
71,SMB,20615.31,2094.14,5,Moderate Competition,0.72,24300.56,-17.88
72,Enterprise,20632.61,25271.07,6,High Competition,0.72,20844.68,-1.03
73,Enterprise,21942.66,2844.47,2,Low Competition,0.49,24763.5,-12.86
74,SMB,23004.53,23365.66,13,High Competition,0.65,23640.5,-2.76
75,SMB,13760.88,14570.37,6,Moderate Competition,0.58,13859.63,-0.72
76,SMB,13534.87,25829.75,5,High Competition,0.91,12800.5,5.43
77,SMB,20360.79,3585.88,1,High Competition,0.62,23365.69,-14.76
78,Enterprise,16949.17,15203.27,6,High Competition,0.55,17380.55,-2.55
79,Mid-Market,18145.24,25257.12,6,Moderate Competition,0.52,17151.04,5.48
80,Enterprise,20303.23,14458.97,16,High Competition,0.66,21829.57,-7.52
81,SMB,22470.12,17031.45,4,High Competition,0.84,24813.89,-10.43
82,Mid-Market,9773.89,18637.12,11,High Competition,0.63,8698.53,11
83,Mid-Market,10638.41,12799.89,9,Moderate Competition,0.73,10803.55,-1.55
84,Enterprise,4161.58,16986.91,3,Low Competition,0.79,2479.15,40.43
85,Mid-Market,15300.44,15940.41,19,High Competition,0.62,15571.66,-1.77
86,Mid-Market,2826.67,23608.02,8,Moderate Competition,0.54,-267.92,109.48
87,SMB,12708.75,2899.8,5,Low Competition,0.9,15196.79,-19.58
88,Mid-Market,14480.83,8599.31,4,Moderate Competition,0.53,15449.94,-6.69
89,SMB,8590.45,24799.96,6,High Competition,0.57,6279.29,26.9
90,Mid-Market,15589.16,23344.38,2,High Competition,0.99,15953.61,-2.34
91,Enterprise,2701.51,12826.89,11,High Competition,0.2,1020.61,62.22
92,SMB,2859.01,16807.21,4,High Competition,0.35,681.01,76.18
93,SMB,20919.81,8512.62,15,High Competition,0.51,22822.73,-9.1
94,Mid-Market,10284.38,6352.53,6,Moderate Competition,0.95,11799.75,-14.73
95,SMB,4922.39,13021.5,17,High Competition,0.26,3471.25,29.48
96,Mid-Market,14011.59,10351.12,6,High Competition,0.21,13747.99,1.88
97,Mid-Market,19709.85,15924.48,19,Moderate Competition,0.24,19252.74,2.32
98,Mid-Market,6963.88,3681.18,2,High Competition,0.27,7135.95,-2.47
99,Enterprise,16326.48,25380.35,15,Low Competition,0.23,14086.77,13.72
100,Enterprise,3962.99,25666.3,11,Moderate Competition,0.58,770.9,80.55
101,Enterprise,3188.68,18695.51,8,High Competition,0.66,964.69,69.75
102,Mid-Market,14221.16,14773.53,19,Moderate Competition,0.42,13910.77,2.18
103,Mid-Market,14434.61,9290.57,13,Moderate Competition,0.52,15263.95,-5.75
104,Mid-Market,16660.89,21493.84,12,Moderate Competition,0.27,15169.55,8.95
105,SMB,18700.1,18370.49,5,High Competition,0.47,18637.34,0.34
106,Enterprise,24444.6,5735.33,6,High Competition,0.62,27837.66,-13.88
107,Mid-Market,13874.91,23844.44,4,Moderate Competition,0.79,13184.23,4.98
108,SMB,9428,21705.4,19,High Competition,0.2,7020.71,25.53
109,Enterprise,20289.28,24785.16,1,High Competition,0.57,19898.95,1.92
110,Enterprise,8229.14,19362.41,17,High Competition,0.44,6460.4,21.49
111,Enterprise,12096.34,16644.65,12,Moderate Competition,0.88,12333.42,-1.96
112,Enterprise,3804.5,11921.48,15,High Competition,0.77,2792.4,26.6
113,SMB,2583.07,24372.03,1,Low Competition,0.67,-597.45,123.13
114,SMB,24140.91,22758.75,14,Moderate Competition,0.42,23961.98,0.74
115,Mid-Market,21227.54,2894.29,6,Low Competition,0.93,25803.1,-21.55
116,SMB,18007.41,2438.08,5,Low Competition,0.24,19406.42,-7.77
117,SMB,11405.92,10910.41,11,Low Competition,0.29,11001.2,3.55
118,Enterprise,5985.77,21415.39,4,Low Competition,0.51,3683.3,38.47
119,SMB,5598.05,25692.08,13,High Competition,0.3,2360.02,57.84
120,Mid-Market,7755.59,5440.09,11,Moderate Competition,0.97,8831.94,-13.88
121,SMB,14632.21,16177.96,3,High Competition,0.84,15395.34,-5.22
122,SMB,18435.71,11017.56,1,High Competition,0.41,19216.59,-4.24
123,Mid-Market,17184.54,25271.93,6,Moderate Competition,0.67,16555.71,3.66
124,Enterprise,8438.48,22179.28,18,Moderate Competition,0.99,7204.33,14.63
125,Enterprise,23961.9,22087.55,10,High Competition,0.91,26207.93,-9.37
126,Mid-Market,18971.63,13142.37,5,Moderate Competition,0.68,20529,-8.21
127,SMB,14750.14,11838.63,10,Low Competition,0.92,16425.88,-11.36
128,SMB,16069.58,8416.45,12,Moderate Competition,0.99,18792.37,-16.94
129,Enterprise,11650.8,3164.29,2,Moderate Competition,0.79,13599.52,-16.73
130,Mid-Market,7697.81,22726.28,13,Low Competition,0.25,5058.65,34.28
131,Mid-Market,10187.37,21472.2,8,Low Competition,0.52,8535.39,16.22
132,Enterprise,19430.46,25993.17,2,Moderate Competition,0.87,19883.91,-2.33
133,Enterprise,2331.05,25918.61,1,Low Competition,0.38,-1263.03,154.18
134,Mid-Market,4669.67,15241.45,5,Low Competition,0.86,3420.12,26.76
135,SMB,3058.06,20409.5,9,Low Competition,0.3,333.02,89.11
136,Mid-Market,2936.76,24663.33,17,High Competition,0.24,-474.94,116.17
137,Mid-Market,21675.59,22361.47,9,High Competition,0.51,21616.06,0.27
138,SMB,18184.13,7785.82,11,High Competition,0.23,18761.93,-3.18
139,Mid-Market,12906,12703.17,15,High Competition,0.97,14149.59,-9.64
140,SMB,4250.19,4925.66,6,Moderate Competition,0.86,4454.88,-4.82
141,SMB,13307.17,24888.03,3,Moderate Competition,0.84,12474.93,6.25
142,Enterprise,12889.85,16469.43,17,Low Competition,0.7,12868.51,0.17
143,Mid-Market,5983.64,7333.16,5,High Competition,0.37,5625.64,5.98
144,Mid-Market,11978.59,18055.16,12,Low Competition,0.61,11330.63,5.41
145,Enterprise,11165.61,16758.7,18,Moderate Competition,0.68,10728.61,3.91
146,Enterprise,16164.55,10467.54,14,Moderate Competition,0.62,17407.05,-7.69
147,Mid-Market,16607.15,4548.09,11,Low Competition,0.41,18117.08,-9.09
148,Mid-Market,3041.99,18052.07,9,Moderate Competition,0.61,857.4,71.81
149,Enterprise,10616.09,14391.45,2,High Competition,0.59,10240.88,3.53
150,Enterprise,16394.78,20490.11,12,Low Competition,1,17419.96,-6.25
151,SMB,13572.13,14387.96,3,High Competition,0.92,14589.81,-7.5
152,Enterprise,21699.27,22422.79,3,High Competition,0.57,21894.53,-0.9
153,Enterprise,17149.95,15156.15,1,Low Competition,0.7,18135.02,-5.74
154,Mid-Market,5747.49,15374.7,8,High Competition,0.8,4648.26,19.13
155,SMB,3623.08,23015.02,8,Moderate Competition,0.23,518.64,85.69
156,Enterprise,16775.64,11564.29,11,High Competition,0.92,18966.5,-13.06
157,Mid-Market,2609.76,5043.17,9,Low Competition,0.89,2448.31,6.19
158,SMB,15472.84,2496.54,5,High Competition,0.57,17635.9,-13.98
159,Enterprise,23625.3,20074.32,14,Low Competition,0.51,24205.2,-2.45
160,SMB,15235.91,16811.49,3,Moderate Competition,0.42,14755.8,3.15
161,Mid-Market,10927.91,18838.73,5,High Competition,0.58,9916.13,9.26
162,Mid-Market,16795.63,6953.73,5,Moderate Competition,0.24,17398.54,-3.59
163,Mid-Market,12539.82,5100.19,19,Low Competition,0.88,14608.79,-16.5
164,Mid-Market,14549.19,2151.98,14,High Competition,0.23,15623.12,-7.38
165,Enterprise,23653.69,10284.22,4,High Competition,0.46,25469.88,-7.68
166,SMB,10880.36,16076.01,13,High Competition,0.95,11080.24,-1.84
167,Mid-Market,24107.38,11292.31,10,Moderate Competition,0.79,27427.87,-13.77
168,Enterprise,22823.06,12386.89,18,Moderate Competition,0.43,24068.96,-5.46
169,Enterprise,6503.2,23680.64,8,Moderate Competition,0.4,3796.52,41.62
170,Mid-Market,3595.31,10227.78,8,High Competition,0.2,2384.72,33.67
171,Mid-Market,4317.89,14238.55,7,High Competition,0.76,3054.32,29.26
172,Enterprise,2419.1,20764.4,8,Moderate Competition,0.24,-458.49,118.95
173,Mid-Market,4172.19,11396.34,14,High Competition,0.63,3197.04,23.37
174,Enterprise,17709.16,16854.5,19,High Competition,0.97,19502.02,-10.12
175,Mid-Market,3637.34,22669.2,6,Low Competition,0.29,629.79,82.69
176,Enterprise,9336.44,24778.4,1,Moderate Competition,0.92,7804.41,16.41
177,Mid-Market,21432.13,5359.18,15,Moderate Competition,0.99,25943.42,-21.05
178,Mid-Market,2535.25,24223.42,1,Low Competition,0.25,-844.74,133.32
179,SMB,20732.78,13709.21,17,Moderate Competition,0.91,23486.4,-13.28
180,Enterprise,8482.66,8049.51,1,Low Competition,0.61,8734.25,-2.97
181,Mid-Market,4717.79,12911.09,15,High Competition,0.93,3894.52,17.45
182,Enterprise,18024.95,25516.79,2,High Competition,0.66,17477.97,3.03
183,SMB,16465.69,13721.36,14,High Competition,0.73,17634.76,-7.1
184,SMB,22181.86,9755.79,8,High Competition,0.64,24666.86,-11.2
185,Enterprise,18906.63,17128.3,8,Moderate Competition,0.89,20648.1,-9.21
186,Mid-Market,20480.06,7611.52,19,High Competition,0.79,23598.18,-15.23
187,SMB,8486.8,3635.89,7,High Competition,0.62,9418.12,-10.97
188,Mid-Market,6081.11,4918.89,19,High Competition,0.89,6729.77,-10.67
189,Mid-Market,19264.14,4898.71,6,High Competition,0.4,21033.67,-9.19
190,Enterprise,20557.2,5476.05,6,Moderate Competition,0.33,22120.43,-7.6
191,Enterprise,24781.62,5159.62,3,High Competition,0.33,26882.34,-8.48
192,SMB,11490.21,17309.17,7,Moderate Competition,0.47,10548.42,8.2
193,SMB,10556.42,6201.5,19,High Competition,0.39,10977.42,-3.99
194,Mid-Market,19857.5,10165.15,8,Moderate Competition,0.94,23058.81,-16.12
195,Mid-Market,9838.48,23502.28,10,Low Competition,0.28,7356.02,25.23
196,Mid-Market,23407.42,13269.87,15,High Competition,0.76,26145.24,-11.7
197,SMB,21743.49,17954.9,15,Moderate Competition,0.35,21659.47,0.39
198,SMB,11866.86,5970.14,1,High Competition,0.91,13724.45,-15.65
199,SMB,19270.03,6453.39,7,High Competition,0.97,23003.91,-19.38
200,SMB,19354.49,2789.02,4,Low Competition,0.57,22110.27,-14.24
